County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Sierra,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siskiyou,2014,116.0,65.0,0.0,44.0,28.0,250.0,38.0,632.0,0.0,12.0,30.0,656.0,0.0,0.0
Siskiyou,2015,141.0,47.0,0.0,43.0,11.0,234.0,60.0,719.0,0.0,14.0,24.0,622.0,12.0,0.0
Siskiyou,2016,214.0,48.0,0.0,127.0,0.0,317.0,47.0,724.0,12.0,12.0,29.0,651.0,11.0,0.0
Siskiyou,2017,191.0,102.0,0.0,158.0,12.0,208.0,66.0,707.0,0.0,14.0,0.0,694.0,0.0,0.0
Siskiyou,2018,149.0,85.0,0.0,149.0,24.0,218.0,54.0,639.0,0.0,0.0,0.0,608.0,0.0,0.0
Siskiyou,2019,179.0,55.0,0.0,81.0,15.0,266.0,26.0,679.0,0.0,42.0,42.0,766.0,0.0,0.0
Solano,2014,1007.0,1020.0,84.0,1017.0,263.0,1036.0,705.0,3096.0,367.0,438.0,348.0,4803.0,254.0,65.0
Solano,2015,875.0,1124.0,116.0,1096.0,300.0,998.0,923.0,3584.0,378.0,438.0,331.0,4423.0,206.0,91.0
Solano,2016,836.0,1152.0,54.0,1241.0,362.0,979.0,824.0,3527.0,384.0,471.0,145.0,4937.0,246.0,105.0
Solano,2017,917.0,1277.0,114.0,1542.0,393.0,931.0,984.0,3559.0,473.0,568.0,240.0,4959.0,76.0,125.0
Solano,2018,1131.0,1289.0,59.0,1192.0,305.0,990.0,1006.0,3675.0,433.0,695.0,358.0,4953.0,259.0,98.0
Solano,2019,1058.0,1272.0,92.0,1203.0,349.0,1103.0,968.0,3229.0,478.0,455.0,329.0,4918.0,213.0,159.0
Sonoma,2014,1160.0,1737.0,0.0,1262.0,406.0,1120.0,637.0,5370.0,309.0,327.0,501.0,5635.0,166.0,130.0
Sonoma,2015,1272.0,1699.0,28.0,1309.0,403.0,1292.0,689.0,5508.0,350.0,436.0,383.0,5601.0,139.0,324.0
Sonoma,2016,1154.0,1683.0,26.0,1422.0,361.0,1118.0,656.0,5648.0,403.0,349.0,398.0,5986.0,122.0,312.0
Sonoma,2017,1215.0,1791.0,23.0,1359.0,310.0,1315.0,786.0,5314.0,398.0,425.0,383.0,5839.0,170.0,252.0
Sonoma,2018,1228.0,1677.0,22.0,1451.0,369.0,1055.0,661.0,5401.0,290.0,481.0,412.0,5736.0,178.0,392.0
Sonoma,2019,1291.0,1659.0,0.0,1522.0,322.0,922.0,644.0,5137.0,293.0,339.0,465.0,5492.0,117.0,466.0
Stanislaus,2014,1215.0,1089.0,134.0,1504.0,501.0,1284.0,706.0,6419.0,342.0,585.0,352.0,5591.0,337.0,164.0
Stanislaus,2015,1532.0,1416.0,142.0,1346.0,543.0,1862.0,925.0,6646.0,439.0,675.0,181.0,5756.0,360.0,67.0
Stanislaus,2016,1450.0,1668.0,90.0,1359.0,574.0,1632.0,916.0,6543.0,508.0,600.0,367.0,5714.0,454.0,310.0
Stanislaus,2017,1397.0,2104.0,87.0,1537.0,687.0,1614.0,976.0,6426.0,577.0,500.0,324.0,5573.0,503.0,386.0
Stanislaus,2018,1523.0,1731.0,39.0,1489.0,597.0,1519.0,1071.0,6585.0,475.0,536.0,304.0,5545.0,579.0,291.0
Stanislaus,2019,1464.0,1854.0,25.0,1583.0,705.0,1679.0,825.0,6493.0,538.0,459.0,426.0,5617.0,551.0,369.0
Sutter,2014,87.0,0.0,0.0,123.0,92.0,223.0,80.0,895.0,0.0,16.0,89.0,884.0,0.0,0.0
Sutter,2015,190.0,26.0,0.0,306.0,26.0,206.0,29.0,956.0,0.0,14.0,11.0,923.0,28.0,0.0
Sutter,2016,88.0,256.0,11.0,292.0,12.0,225.0,30.0,960.0,25.0,38.0,59.0,944.0,0.0,0.0
Sutter,2017,165.0,288.0,0.0,257.0,16.0,203.0,92.0,920.0,41.0,60.0,14.0,777.0,15.0,0.0
Sutter,2018,268.0,336.0,0.0,260.0,14.0,115.0,81.0,727.0,38.0,47.0,0.0,962.0,30.0,0.0
Sutter,2019,222.0,192.0,0.0,303.0,54.0,261.0,19.0,859.0,39.0,28.0,27.0,833.0,18.0,33.0
Tehama,2014,97.0,29.0,0.0,40.0,27.0,192.0,37.0,717.0,24.0,25.0,39.0,787.0,11.0,0.0
Tehama,2015,216.0,41.0,0.0,167.0,23.0,192.0,11.0,788.0,11.0,11.0,13.0,700.0,0.0,0.0
