ID Place of Birth,Place of Birth,ID Age,Age,Birthplace (2013),Birthplace (2014),Birthplace (2015),Birthplace (2016),Birthplace (2017),Birthplace (2018),Birthplace (2019),Birthplace Moe (2013),Birthplace Moe (2014),Birthplace Moe (2015),Birthplace Moe (2016),Birthplace Moe (2017),Birthplace Moe (2018),Birthplace Moe (2019),Geography (2013),Geography (2014),Geography (2015),Geography (2016),Geography (2017),Geography (2018),Geography (2019),ID Geography (2013),ID Geography (2014),ID Geography (2015),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019)
3,"Foreign Born",1,"5 to 17 Years",429228,419252,399350,393299,366985,369546,360844,12586,11596,12386,11247,12041,11900,14297,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",2,"18 to 24 Years",623509,598084,593448,567828,537934,543091,514525,15006.999999999998,13734,13484,13339,13194,13923,14998,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",3,"25 to 34 Years",1726087,1730572,1723713,1673590,1613659,1534207,1471963,18523,19680,19230,20489,17747,22591,22395,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",4,"35 to 44 Years",2297103,2281528,2282184,2227509,2168307,2113174,2072158,18180,17608,16960,20491,16822,19583,23710,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",5,"45 to 54 Years",2097710,2186380,2226371,2254596,2273507,2252536,2263942,16018.999999999998,16871,16863,14762.000000000002,17266,16196,16433,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",6,"55 to 59 Years",840681,881013,917143,926298,943854,964670,975310,11272,11506,15527,13098,14024.000000000002,14501,15335.999999999998,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",7,"60 & 61 Years",297480,303381,333279,358991,352375,360176,369333,9849,9434,7652.999999999999,7884,9618,9212,11762,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",8,"62 to 64 Years",393662,410313,428170,430173,467032,481070,482409,8785,9191,9826,10182,10380,11351,11041,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",9,"65 to 74 Years",901975,945669,994916,1028756,1086412,1129079,1167799,9312,9684,10640,9441,11165,10003,10350,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
3,"Foreign Born",10,"75 Years & Over",659960,706215,739234,754672,788985,826952,837195,8948,8326,9879,8973,9425,10727,11204,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
